Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,Door4,0.34625,-0.02625,1,0,0,0.813,optionRight,60,1715,1,33,0,33,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DB.BMP,resources/DBN.BMP,Door4,-0.3425,-0.03375,1,0,0,1.229,optionLeft,80,1795,1,34,0,34,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DR.BMP,Door2,0.34875,-0.01625,1,0,0,0.828,optionRight,20,1815,1,35,0,35,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DG.BMP,resources/DB.BMP,Door3,-0.37125,0.02375,1,0,0,1.411,optionLeft,70,1885,1,36,0,36,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,WildCard_NonEx,0.31125,-0.01125,1,0,0,0.912,optionRight,45,1930,1,37,0,37,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DBN.BMP,resources/DB.BMP,Door1,-0.41875,0.0175,1,0,0,1.245,optionLeft,30,1960,1,38,0,38,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DB.BMP,resources/Empty.png,Door4,-0.3175,0.005,1,0,0,0.794,optionLeft,80,2040,1,39,0,39,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DR.BMP,resources/DG.BMP,Door3,0.33625,-0.0075,1,0,0,1.047,optionRight,70,2110,1,40,0,40,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DG.BMP,resources/DB.BMP,Door4,0.28,0.00375,1,0,0,0.694,optionRight,80,2190,1,41,0,41,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DG.BMP,resources/DP.BMP,Door3,-0.37125,0.00625,1,0,0,0.729,optionLeft,70,2260,1,42,0,42,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,Door1,-0.27875,0.005,1,0,0,1.012,optionLeft,30,2290,1,43,0,43,0,1
