Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,Door2,0.248959884,-0.072468804,1,0,0,6.3486,optionRight,20,1790,1,33,0,33,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,ctch,resources/DBN.BMP,resources/DY.BMP,Door4,-0.279010606,-0.025312109,1,0,0,1.3935,optionLeft,60,1850,1,34,0,34,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DBN.BMP,resources/DB.BMP,Door3,0.375635684,-0.133495146,1,0,0,1.3816,optionRight,70,1920,1,35,0,35,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,ctch,resources/DG.BMP,resources/DB.BMP,Door2,-0.22815534,-0.083564536,1,0,0,1.0016,optionLeft,40,1960,1,36,0,36,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door1,-0.242024968,-0.077091995,1,0,0,0.9085,optionLeft,30,1990,1,37,0,37,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DR.BMP,resources/DG.BMP,WildCard_Ex,-0.253120663,-0.024387471,1,0,0,3.4748,optionLeft,95,2085,1,38,0,38,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,ctch,resources/DY.BMP,resources/DBN.BMP,Door4,0.298890419,-0.031784576,1,0,0,1.8442,optionRight,80,2165,1,39,0,39,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door2,-0.329865928,-0.071544166,1,0,0,1.9201,optionLeft,40,2205,1,40,0,40,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,sngl,resources/DY.BMP,resources/Empty.png,Door1,-0.256819234,-0.0299353,1,0,0,0.6886,optionLeft,30,2235,1,41,0,41,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,Door2,-0.261442444,0.004276461,1,0,0,0.6857,optionLeft,40,2275,1,42,0,42,0,1,,,,,
