Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64dc7c4f1a8da31a47b5d486,59ce3501a5bbdd0001bf45e2,APPROVED,2023-08-16T07:35:47.013000Z,2023-08-16T07:53:48.505000Z,2023-08-16T15:07:20.301000,2023-08-16T07:53:48.979475Z,1082,C2BFG2BR,1163,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64dc7c512c6c239c09739a7b,5642444817bdbe00062a1129,APPROVED,2023-08-16T07:35:48.398000Z,2023-08-16T08:00:23.286000Z,2023-08-16T15:07:20.426000,2023-08-16T08:00:23.807670Z,1475,C2BFG2BR,1265,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7c5f2ac0a69ca4696226,55b78162fdf99b0416ce544e,APPROVED,2023-08-16T07:39:07.583000Z,2023-08-16T07:59:12.307000Z,2023-08-16T15:07:20.569000,2023-08-16T07:59:14.477625Z,1205,C2BFG2BR,1615,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
64dc7c63de5d1fe09df02f89,5ffa12927eb1463a5c45b788,APPROVED,2023-08-16T07:36:13.802000Z,2023-08-16T07:54:20.317000Z,2023-08-16T15:07:20.718000,2023-08-16T07:54:20.745069Z,1087,C2BFG2BR,638,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7c6922e0e5d178a08dc2,5aa836d6f053610001728189,APPROVED,2023-08-16T07:37:45.904000Z,2023-08-16T08:03:08.238000Z,2023-08-16T15:07:20.875000,2023-08-16T08:03:08.813574Z,1523,C2BFG2BR,637,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64dc7c6aed90c03ed71270e7,6140bf6523a8f20a2ea1e417,APPROVED,2023-08-16T07:36:16.879000Z,2023-08-16T08:04:46.833000Z,2023-08-16T15:07:21.016000,2023-08-16T08:04:47.428482Z,1710,C2BFG2BR,1095,English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7c738b5e45769dd3ce0d,5955578c868d3100010cfa1a,APPROVED,2023-08-16T07:36:29.786000Z,2023-08-16T07:55:27.717000Z,2023-08-16T15:37:13.316000,2023-08-16T07:55:28.713558Z,1138,NOCODE,1629,"English, Hungarian",39,Female,White,Hungary,United Kingdom,United Kingdom,Hungarian,No,Part-Time
64dc7c750db31b126fbe898e,63f1bdcac90b79cd273a2d5c,APPROVED,2023-08-16T07:36:33.386000Z,2023-08-16T07:59:38.942000Z,2023-08-16T15:07:21.172000,2023-08-16T07:59:39.423238Z,1386,C2BFG2BR,120,English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
64dc7c78807e6bcc56f75cde,5f3be0f027d97397cfc8a000,APPROVED,2023-08-16T07:36:47.874000Z,2023-08-16T07:52:55.498000Z,2023-08-16T15:07:21.321000,2023-08-16T07:52:56.006901Z,968,C2BFG2BR,697,"Danish, English, Norwegian, Swedish",26,Male,White,Norway,United Kingdom,Norway,Norwegian,No,Full-Time
64dc7c7c88eef70a32feb17c,610a879e6500d1d653b3da54,APPROVED,2023-08-16T07:36:31.021000Z,2023-08-16T07:57:57.550000Z,2023-08-16T15:07:21.455000,2023-08-16T07:57:58.109674Z,1287,C2BFG2BR,1381,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc7c7caf8ed5d2580334a7,5b1e614fbd262e0001491796,APPROVED,2023-08-16T07:36:31.748000Z,2023-08-16T08:06:05.882000Z,2023-08-16T15:07:21.611000,2023-08-16T08:06:06.352694Z,1775,C2BFG2BR,927,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64dc7c8712bc9838b71f2148,5db5f2196a72a3000cc54aa4,APPROVED,2023-08-16T07:36:50.032000Z,2023-08-16T07:55:46.681000Z,2023-08-16T15:07:21.763000,2023-08-16T07:55:47.360132Z,1137,C2BFG2BR,485,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
64dc7c8eaf21463242e2ed34,62da689228c4a8004c8d789d,APPROVED,2023-08-16T07:41:31.037000Z,2023-08-16T07:58:19.659000Z,2023-08-16T15:07:21.936000,2023-08-16T07:58:20.080801Z,1009,C2BFG2BR,464,"Chinese, English, Malay",27,Female,Asian,Malaysia,United Kingdom,Malaysia,English,DATA_EXPIRED,DATA_EXPIRED
